ref,location,subject,back_word_1,back_word_2,back_word_3,title
020de9b9,1349,pretreino,337,2879,1837,1
020de9b9,1475,pretreino,1948,888,1484,1
020de9b9,1876,pretreino,lcançar,2904,2224,1
020de9b9,2358,pretreino,magic,652,1484,1
020de9b9,2524,pretreino,748,1,693,1
020de9b9,2711,pretreino,1503,491,2455,1
020de9b9,3252,pretreino,magic,652,1484,1
020de9b9,3418,pretreino,748,1,693,1
020de9b9,3605,pretreino,1503,491,2455,1
020de9b9,4176,pretreino,lcançar,2904,2224,1
020de9b9,5070,pretreino,lcançar,2904,2224,1
0218b544,45,fibra,2636,3292,167,1
0218b544,55,fibra,l,x,triglicerídeosenteral,1
0218b544,91,fibra,s,g,vitaforenteral,1
0218b544,104,fibra,onalmente,686,651,1
0218b544,128,fibra,g,vitafor,1183,1
0218b544,188,fibra,onalmente,686,651,1
0218b544,257,fibra,onalmente,686,651,1
0218b544,348,fibra,ulação,2562,890,1
0218b544,501,fibra,ulação,2562,890,1
0218b544,590,fibra,0,3287,1093,1
0218b544,864,fibra,890,1499,2936,1
022123dd,31,bcaa,g,2989,184,1
022123dd,1705,bcaa,0,1570,1008,1
022123dd,1857,bcaa,mosos,671,2222,1
022123dd,2134,bcaa,1295,482,1,1
022123dd,2307,bcaa,abolismo,671,3093,1
022123dd,2370,bcaa,1014,2179,3139,1
022123dd,2721,bcaa,2179,1419,1054,1
022123dd,2948,bcaa,uitas,1092,2930,1
022123dd,2970,bcaa,bcaa,1093,2334,1
022123dd,2990,bcaa,2899,bcaa,214,1
022123dd,3396,bcaa,h,supplements,2240,1
022123dd,3585,bcaa,2294,247,1,1
022123dd,4663,bcaa,1,997,890,1
022123dd,4722,bcaa,2213,1054,2628,1
022123dd,5011,bcaa,2628,vc,1802,1
022123dd,5124,bcaa,2389,2222,1563,1
02469fd7,13,veg,0,0,proteinabest,1
02469fd7,23,veg,0,proteinabest,veganbest,1
02469fd7,29,protein,proteinabest,veganbest,vegan,1
02469fd7,32,veg,0,0,430,1
02469fd7,38,protein,0,430,vegan,1
02469fd7,170,protein,strawberry,milkshakebest,whey,1
02469fd7,324,protein,1871,490,avelabest,1
02469fd7,369,protein,890,leche,premiumbest,1
02469fd7,414,protein,cake,890,maracujábest,1
02469fd7,453,protein,cookies,creambest,whey,1
02469fd7,497,protein,ianco,114,lattebest,1
02469fd7,539,protein,3023,490,avelãbest,1
02469fd7,578,protein,2099,perfettobest,whey,1
02469fd7,611,protein,2612,890,melbest,1
02469fd7,648,protein,peanut,butter,430,1
02469fd7,687,protein,3108,114,limonebest,1
02469fd7,742,protein,biancocleanlab,immuno,392,1
02469fd7,760,veg,2124,392,protein,1
02469fd7,873,veg,0,sticks,890,1
02469fd7,879,protein,0,sticks,890,1
02469fd7,950,veg,1676,2334,1223,1
02469fd7,956,protein,1,1223,avaliaçãobest,1
0268f264,280,carboidrato,2775,651,2222,1
0268f264,526,carboidrato,0,3176,2455,1
0268f264,631,carboidrato,2304,2133,2222,1
034ea28b,2,protein,0,0,2222,1
034ea28b,48,blend,ein,2125,449,1
034ea28b,54,protein,scle,449,skull,1
034ea28b,56,blend,ein,2125,449,1
034ea28b,62,protein,scle,449,skull,1
034ea28b,125,protein,rete,1579,2334,1
034ea28b,160,blend,ein,2125,449,1
034ea28b,166,protein,scle,449,skull,1
034ea28b,176,protein,skull,g,450,1
034ea28b,211,blend,ein,2125,449,1
034ea28b,217,protein,scle,449,skull,1
034ea28b,367,protein,0,1065,3075,1
034ea28b,427,protein,1093,hidrolisada,1134,1
034ea28b,517,protein,1004,651,1432,1
034ea28b,563,protein,900,1189,g,1
034ea28b,869,blend,endações,890,3175,1
034ea28b,997,blend,nutenção,890,1990,1
034ea28b,1023,protein,2294,blends,1457,1
034ea28b,1240,protein,1295,295,214,1
034ea28b,1312,blend,2637,890,2636,1
034ea28b,1322,protein,2636,945,783,1
034ea28b,1494,protein,1782,1093,2304,1
034ea28b,1531,blend,1054,1871,2218,1
034ea28b,1560,protein,blends,2628,2465,1
03df2762,338,kit,zações,2334,2817,1
04200654,10,pretreino,0,0,panic,1
04200654,19,pretreino,0,942,panic,1
04200654,30,pretreino,1791,1508,1230,1
04200654,49,pretreino,1230,2596,3139,1
04200654,95,pretreino,0,ções,2222,1
04200654,118,pretreino,992,2222,2628,1
04200654,136,pretreino,0,panic,2596,1
04200654,157,pretreino,1696,1954,721,1
04200654,303,pretreino,0,2052,890,1
04200654,425,pretreino,1505,1768,2218,1
04200654,596,pretreino,2989,615,671,1
04200654,846,pretreino,1768,2485,2628,1
04200654,1173,pretreino,roduto,2179,533,1
04200654,1179,pretreino,1177,2957,724,1
04200654,1217,pretreino,0,2829,890,1
04200654,1373,pretreino,337,2879,1837,1
04200654,1465,pretreino,2222,1954,1339,1
04200654,1527,pretreino,1696,1954,721,1
04200654,1601,pretreino,ível,1054,2903,1
04200654,2093,pretreino,onada,942,panic,1
04200654,2192,pretreino,992,2222,2628,1
04200654,2210,pretreino,0,panic,2596,1
04200654,2499,pretreino,1505,1768,2218,1
04200654,2670,pretreino,2989,615,671,1
04200654,2920,pretreino,1768,2485,2628,1
04200654,3007,pretreino,2821,1900,panic,1
04200654,3105,pretreino,992,2222,2628,1
04200654,3253,pretreino,1177,2957,724,1
04200654,3675,pretreino,1768,2485,2628,1
04200654,3741,pretreino,utos,2729,panic,1
04200654,3960,pretreino,1121,341,2957,1
04200654,4378,pretreino,1940,361,panic,1
04245a63,29,picolinato,g,2989,3287,1
04245a63,43,cromo,mentos,3287,picolinato,1
04245a63,1587,picolinato,2628,1519,460,1
04245a63,1965,cromo,2419,651,3175,1
04245a63,2181,cromo,0,0,2222,1
04245a63,3064,cromo,roveitamento,2477,1054,1
04245a63,3384,cromo,962,1441,2222,1
04245a63,4095,picolinato,163,1036,2222,1
04245a63,4109,cromo,163,1036,2222,1
04245a63,5462,cromo,826,1093,2179,1
04245a63,5468,picolinato,1093,2179,2222,1
04245a63,6964,picolinato,0,1703,880,1
04245a63,7048,picolinato,0,3139,2179,1
04245a63,7062,cromo,3139,2179,picolinato,1
04245a63,7510,picolinato,890,1738,2222,1
04245a63,7524,cromo,2222,784,890,1
04245a63,8144,cromo,1324,3197,1054,1
04245a63,8305,cromo,tação,326,964,1
04245a63,8715,picolinato,207,890,3222,1
04245a63,8976,picolinato,1,1966,1093,1
04245a63,8990,cromo,1093,784,1054,1
04245a63,9247,picolinato,1666,2334,2817,1
04245a63,9261,cromo,2817,2857,2222,1
04245a63,9491,picolinato,1697,1093,2910,1
04245a63,9556,picolinato,849,671,3093,1
04245a63,9570,cromo,671,3093,1093,1
04245a63,9717,picolinato,roveite,3088,2294,1
04245a63,10163,cromo,0,picolinato,890,1
04245a63,10975,cromo,0,picolinato,890,1
04245a63,11949,cromo,2019,2294,2051,1
04245a63,12098,cromo,hã,2439,880,1
042fac3e,13,protein,0,0,produtoswhey,1
042fac3e,21,protein,0,produtoswhey,protein,1
042fac3e,32,whey,rodutoswhey,protein,2583,1
042fac3e,37,protein,oswhey,protein,2583,1
