back_words,back_words_original
"['', 'voce', 'pode', 'mais', 'pre', 'treino']","['', 'você', 'pode', 'mais', 'pré', 'treino']"
"['empenho', 'do', 'atleta', '', 'v', 'fort', '', 'e', 'o', 'pre', 'treino']","['empenho', 'do', 'atleta', '', 'v', 'fort', '', 'é', 'o', 'pré', 'treino']"
